journal,journal_abbr,issn,qualis_2017_2020,if_2023_jcr,quartile_2023,area_2023,last_updated_ranking
ACS Omega,ACS Omega,2470-1343,A4,3.7,Q2,Chemistry,13-08-2024
Advanced Materials Technologies,Adv Mater Technol,2365-709X,A1,6.4,Q1,Materials Science,13-08-2024
Agriculture,Agriculture,2077-0472,A3,3.3,Q1,Agronomy and Crop Science,13-08-2024
Amino Acids,Amino Acids,0939-4451,A2,3,Q2,Biochemistry,13-08-2024
Analytical Biochemistry,Anal Biochem,0003-2697,A2,2.6,Q3,Biochemistry,13-08-2024
Animals,Animals,2076-2615,A1,2.7,Q1,Animal Science and Zoology,11-06-2025
Antioxidants,Antioxidants,2076-3921,B1,6,Q1,Biochemistry,13-08-2024
Biochemistry and Molecular Biology Education,Biochem Mol Biol Educ,1470-8175,B2,1.2,Q3,Biochemistry,13-08-2024
Biomolecules,Biomolecules,2218-273X,B2,4.8,Q1,Biochemistry,13-08-2024
Cancer Nanotechnology,Cancer Nanotechnol,1868-6966,A1,4.5,Q2,Pharmaceutical Science,13-08-2024
Comparative Biochemistry and Physiology A,Comp Biochem Physiol A,1095-6433,A1,2.1,Q1,Animal Science and Zoology,13-08-2024
Drugs and Drug Candidates,DDC,2813-2998,NA,NA,NA,NA,13-08-2024
"Estuarine, Coastal and Shelf Science",Estuar Coast Shelf Sci,0272-7714,A2,2.6,Q1,Aquatic Science,13-08-2024
European Journal of Pharmacology,Eur J Pharmacol,0014-2999,A3,4.2,Q1,Pharmacology,17-06-2025
F1000Research,F1000Res,2046-1402,A3,NA,Q1,"Pharmacology, Toxicology and Pharmaceutics",13-08-2024
Free Radical Biology and Medicine,Free Radic Biol Med,1873-4596,A1,7.1,Q1,Biochemistry,13-08-2024
Frontiers in Pharmacology,Front Pharmacol,1663-9812,A2,4.4,Q1,Pharmacology,13-08-2024
Frontiers in Physiology,Front Physiol,1664-042X,A2,3.2,Q2,Physiology,13-08-2024
Frontiers in Research Metrics and Analytics,Front Res Metr Anal,2504-0537,B1,NA,NA,NA,13-08-2024
Insect Biochemistry and Molecular Biology,Insect Biochem Mol Biol,0965-1748,A1,3.2,Q1,Insect Science,13-08-2024
International Journal of Environmental Research and Public Health,Int J Environ Res Public Health,1660-4601,A1,NA,Q2,"Health, Toxicology and Mutagenesis",13-08-2024
International Journal of Molecular Sciences,Int J Mol Sci,1422-0067,A2,4.9,Q1,Organic Chemistry,13-08-2024
Journal of Agricultural and Food Chemistry,J Agric Food Chem,0021-8561,A1,5.7,Q1,Agricultural and Biological Sciences,13-08-2024
Journal of Cellular and Molecular Medicine,J Cell Mol Med,1582-1838,A2,4.3,Q2,Molecular Medicine,13-08-2024
Journal of Comparative Physiology B,J Comp Physiol B,0174-1578,A1,1.7,Q2,Animal Science and Zoology,13-08-2024
Journal of Experimental Biology,J Exp Biol,0022-0949,A1,2.8,Q1,Physiology,22-11-2024
Journal of Medicinal Chemistry,J Med Chem,0022-2623,A1,6.8,Q1,Drug Discovery,13-08-2024
Journal of Natural Products,J Nat Prod,0163-3864,A1,3.3,Q1,Organic Chemistry,13-08-2024
Journal of Visualized Experiments,J Vis Exp,1940-087X,B1,1.2,Q3,"Biochemistry, Genetics and Molecular Biology",13-08-2024
Molecules,Molecules,1420-3049,A2,4.2,Q1,Pharmaceutical Science,13-08-2024
PeerJ,PeerJ,2167-8359,A2,2.3,Q1,Agricultural and Biological Sciences,13-08-2024
Peptides,Peptides,0196-9781,A3,2.8,Q2,Biochemistry,13-08-2024
Pharmaceutics,Pharmaceutics,1999-4923,A1,4.9,Q1,Pharmaceutical Science,13-08-2024
PLOS ONE,PLOS ONE,1932-6203,A1,2.9,Q1,Multidisciplinary,22-11-2024
Proceedings of the Royal Society B,Proc R Soc B,0962-8452,A1,3.8,Q1,"Biochemistry, Genetics and Molecular Biology",13-08-2024
Science of the Total Environment,Sci Total Environ,0048-9697,A1,8.2,Q1,Environmental Chemistry,13-08-2024
Scientific Reports,Sci Rep,2045-2322,A1,3.8,Q1,Multidisciplinary,13-08-2024
Spectrochimica Acta A,Spectrochim Acta A,1386-1425,A1,4.3,Q2,Analytical Chemistry,13-08-2024
Toxicon,Toxicon,0041-0101,A4,2.6,Q3,Toxicology,11-01-2025